,Unnamed: 0,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
9,9.0,Raul Avram,60.0,60.0,170000.0,1000.0,10.0,9.0,25.0,30.0,8.0,13.0,10.0,10.0,30.0,20.0,30.0,25.0,37.0,56.0,23.0,44.0,50.0,35.0,75.0,5.0,24.0,10.0,4.0,45.0,20.0,25.0,6.0,20.0,19.0,59.0,61.0,58.0,59.0,61.0
12,12.0,Andrei Jercălău,53.0,72.0,210000.0,500.0,13.0,7.0,12.0,16.0,5.0,10.0,12.0,14.0,29.0,12.0,25.0,15.0,26.0,35.0,49.0,44.0,65.0,35.0,42.0,7.0,19.0,13.0,5.0,31.0,17.0,31.0,8.0,13.0,14.0,54.0,57.0,58.0,47.0,57.0
20,20.0,Stijn van Gassel,67.0,69.0,975000.0,2000.0,13.0,9.0,14.0,21.0,7.0,13.0,16.0,13.0,19.0,17.0,21.0,27.0,38.0,59.0,39.0,46.0,56.0,35.0,67.0,8.0,28.0,14.0,6.0,39.0,14.0,41.0,9.0,12.0,13.0,67.0,65.0,61.0,68.0,69.0
21,21.0,Pascal Kuiper,60.0,76.0,550000.0,500.0,10.0,9.0,13.0,23.0,7.0,13.0,14.0,13.0,15.0,11.0,24.0,27.0,27.0,48.0,22.0,43.0,35.0,20.0,56.0,9.0,24.0,14.0,4.0,29.0,13.0,36.0,5.0,10.0,12.0,65.0,58.0,57.0,59.0,62.0
43,43.0,冉伟枫,50.0,57.0,80000.0,700.0,11.0,9.0,10.0,15.0,9.0,12.0,13.0,9.0,16.0,16.0,21.0,28.0,26.0,34.0,35.0,40.0,42.0,26.0,55.0,8.0,23.0,12.0,8.0,25.0,8.0,32.0,8.0,11.0,9.0,51.0,50.0,53.0,48.0,52.0
51,51.0,Audenirton Soares da Silva,63.0,71.0,925000.0,1000.0,10.0,8.0,12.0,22.0,9.0,15.0,12.0,12.0,21.0,17.0,26.0,21.0,36.0,62.0,23.0,44.0,31.0,17.0,69.0,10.0,24.0,13.0,6.0,22.0,15.0,34.0,10.0,12.0,13.0,67.0,59.0,58.0,57.0,65.0
59,59.0,Augusto Alcorcel,61.0,72.0,650000.0,1000.0,12.0,6.0,10.0,27.0,9.0,6.0,12.0,9.0,27.0,17.0,33.0,31.0,40.0,50.0,54.0,47.0,60.0,35.0,53.0,10.0,20.0,10.0,8.0,30.0,18.0,30.0,10.0,11.0,11.0,63.0,60.0,62.0,60.0,60.0
12,12.0,Finn Gilbert Dahmen,71.0,79.0,3600000.0,10000.0,14.0,8.0,12.0,40.0,5.0,25.0,13.0,12.0,37.0,30.0,47.0,43.0,52.0,67.0,56.0,59.0,75.0,31.0,49.0,6.0,20.0,13.0,9.0,35.0,11.0,33.0,19.0,12.0,11.0,73.0,67.0,78.0,68.0,74.0
27,27.0,Will Dennis,58.0,69.0,400000.0,3000.0,12.0,7.0,11.0,17.0,7.0,11.0,12.0,11.0,25.0,13.0,29.0,40.0,28.0,49.0,47.0,43.0,64.0,28.0,43.0,8.0,17.0,14.0,5.0,38.0,17.0,39.0,10.0,12.0,12.0,59.0,56.0,57.0,57.0,58.0
39,39.0,Tobe Leysen,63.0,74.0,900000.0,2000.0,15.0,7.0,15.0,21.0,10.0,10.0,13.0,9.0,28.0,11.0,33.0,25.0,37.0,50.0,35.0,44.0,47.0,28.0,48.0,14.0,22.0,15.0,5.0,32.0,18.0,28.0,8.0,11.0,15.0,67.0,60.0,58.0,62.0,67.0
50,50.0,Thomas McGill,57.0,67.0,325000.0,6000.0,14.0,5.0,10.0,16.0,8.0,12.0,13.0,10.0,21.0,19.0,20.0,17.0,29.0,43.0,49.0,44.0,57.0,23.0,46.0,9.0,27.0,13.0,7.0,30.0,10.0,34.0,10.0,12.0,12.0,58.0,56.0,59.0,57.0,59.0
16,16.0,Guglielmo Vicario,79.0,83.0,19000000.0,11000.0,11.0,6.0,11.0,27.0,7.0,12.0,14.0,10.0,27.0,14.0,28.0,29.0,33.0,64.0,33.0,56.0,49.0,18.0,53.0,5.0,17.0,15.0,8.0,64.0,13.0,55.0,23.0,11.0,13.0,81.0,78.0,75.0,79.0,82.0
23,23.0,Caoimhin Kelleher,73.0,80.0,5000000.0,40000.0,13.0,6.0,13.0,38.0,9.0,18.0,12.0,11.0,40.0,22.0,45.0,39.0,44.0,69.0,48.0,56.0,68.0,19.0,60.0,8.0,21.0,12.0,4.0,42.0,30.0,63.0,18.0,10.0,14.0,72.0,71.0,74.0,70.0,76.0
26,26.0,Steven Benda,65.0,72.0,1200000.0,5000.0,7.0,5.0,12.0,24.0,9.0,11.0,8.0,11.0,18.0,18.0,36.0,38.0,30.0,56.0,33.0,44.0,49.0,20.0,53.0,12.0,19.0,13.0,4.0,24.0,12.0,20.0,6.0,9.0,11.0,65.0,63.0,59.0,64.0,67.0
38,38.0,Finn Gilbert Dahmen,71.0,79.0,3600000.0,10000.0,14.0,8.0,12.0,40.0,5.0,25.0,13.0,12.0,37.0,30.0,47.0,43.0,52.0,67.0,56.0,59.0,75.0,31.0,49.0,6.0,20.0,13.0,9.0,35.0,11.0,33.0,19.0,12.0,11.0,73.0,67.0,78.0,68.0,74.0
10,10.0,Rohan Luthra,53.0,70.0,220000.0,2000.0,12.0,6.0,10.0,20.0,7.0,8.0,13.0,12.0,26.0,10.0,20.0,31.0,32.0,47.0,25.0,35.0,42.0,25.0,60.0,6.0,16.0,11.0,4.0,29.0,12.0,21.0,5.0,14.0,10.0,50.0,49.0,47.0,53.0,59.0
16,16.0,Miguel Acosta,60.0,68.0,475000.0,1000.0,11.0,9.0,14.0,28.0,9.0,11.0,13.0,14.0,19.0,16.0,44.0,39.0,44.0,59.0,39.0,44.0,73.0,23.0,65.0,8.0,21.0,13.0,5.0,31.0,11.0,37.0,7.0,11.0,10.0,64.0,57.0,59.0,55.0,58.0
19,19.0,Đorđe Petrović,67.0,76.0,2000000.0,2000.0,13.0,9.0,19.0,28.0,8.0,11.0,10.0,13.0,30.0,17.0,32.0,29.0,38.0,75.0,29.0,46.0,70.0,25.0,79.0,5.0,19.0,9.0,4.0,44.0,12.0,23.0,6.0,13.0,13.0,69.0,60.0,61.0,62.0,70.0
47,47.0,Doğukan Kaya,55.0,65.0,250000.0,1000.0,11.0,5.0,12.0,35.0,6.0,4.0,11.0,11.0,25.0,17.0,21.0,15.0,29.0,43.0,43.0,43.0,60.0,22.0,35.0,7.0,22.0,12.0,7.0,30.0,12.0,32.0,10.0,12.0,12.0,56.0,56.0,57.0,50.0,61.0
51,51.0,Alfie Burnett,51.0,64.0,120000.0,500.0,13.0,5.0,13.0,21.0,5.0,13.0,11.0,13.0,23.0,14.0,26.0,24.0,34.0,42.0,28.0,39.0,33.0,25.0,56.0,5.0,21.0,8.0,7.0,22.0,13.0,28.0,8.0,13.0,13.0,53.0,52.0,52.0,50.0,51.0
55,55.0,Gabriel Kobylak,62.0,74.0,850000.0,950.0,13.0,9.0,23.0,29.0,10.0,11.0,12.0,13.0,32.0,19.0,32.0,33.0,25.0,48.0,25.0,45.0,41.0,33.0,67.0,10.0,44.0,14.0,9.0,44.0,18.0,38.0,11.0,12.0,12.0,59.0,62.0,60.0,64.0,64.0
22,22.0,Illan Meslier,77.0,84.0,18500000.0,25000.0,18.0,11.0,15.0,50.0,9.0,20.0,12.0,10.0,50.0,35.0,37.0,40.0,42.0,74.0,25.0,53.0,42.0,40.0,53.0,17.0,27.0,19.0,8.0,61.0,11.0,67.0,22.0,17.0,19.0,79.0,76.0,71.0,72.0,81.0
46,46.0,Gavin Okeroghene Bazunu,71.0,85.0,4000000.0,15000.0,11.0,5.0,11.0,45.0,7.0,12.0,14.0,12.0,51.0,20.0,49.0,43.0,54.0,65.0,42.0,55.0,79.0,16.0,50.0,5.0,16.0,9.0,8.0,60.0,15.0,38.0,16.0,12.0,11.0,72.0,68.0,73.0,68.0,74.0
13,13.0,Manuel Peter Neuer,90.0,90.0,13500000.0,72000.0,15.0,13.0,25.0,60.0,11.0,30.0,14.0,11.0,68.0,46.0,54.0,60.0,51.0,87.0,35.0,68.0,77.0,43.0,80.0,16.0,29.0,30.0,12.0,70.0,47.0,70.0,17.0,10.0,11.0,87.0,88.0,91.0,90.0,88.0
2,2.0,Bailey Peacock-Farrell,67.0,72.0,1200000.0,10000.0,14.0,11.0,17.0,47.0,11.0,17.0,20.0,11.0,49.0,45.0,54.0,51.0,40.0,62.0,59.0,50.0,68.0,40.0,61.0,17.0,24.0,20.0,14.0,53.0,29.0,52.0,16.0,20.0,20.0,69.0,67.0,66.0,63.0,69.0
18,18.0,Anthony Maisonnial,65.0,73.0,1400000.0,2000.0,15.0,16.0,20.0,24.0,18.0,18.0,19.0,16.0,20.0,17.0,62.0,63.0,32.0,64.0,61.0,47.0,58.0,41.0,65.0,16.0,22.0,19.0,19.0,29.0,12.0,57.0,7.0,18.0,20.0,63.0,63.0,63.0,63.0,69.0
37,37.0,Mile Svilar,70.0,78.0,3100000.0,17000.0,18.0,14.0,22.0,37.0,16.0,19.0,23.0,22.0,32.0,22.0,60.0,55.0,66.0,70.0,54.0,49.0,71.0,32.0,61.0,18.0,28.0,13.0,9.0,50.0,37.0,44.0,12.0,21.0,18.0,72.0,66.0,65.0,66.0,72.0
39,39.0,Riccardo Gagno,67.0,73.0,1300000.0,950.0,12.0,19.0,16.0,27.0,14.0,15.0,17.0,14.0,25.0,18.0,40.0,42.0,32.0,54.0,63.0,44.0,54.0,35.0,60.0,13.0,21.0,23.0,10.0,23.0,23.0,28.0,14.0,12.0,14.0,66.0,67.0,59.0,69.0,70.0
44,44.0,Waleed Al Enazi,54.0,57.0,110000.0,3000.0,13.0,8.0,12.0,23.0,6.0,7.0,14.0,14.0,23.0,12.0,30.0,44.0,35.0,47.0,42.0,40.0,42.0,25.0,54.0,5.0,22.0,10.0,4.0,53.0,16.0,39.0,17.0,12.0,10.0,55.0,53.0,53.0,53.0,56.0
46,46.0,Peter Vindahl Jensen,70.0,75.0,1900000.0,4000.0,15.0,15.0,20.0,44.0,15.0,20.0,20.0,15.0,40.0,36.0,40.0,30.0,42.0,69.0,45.0,51.0,55.0,35.0,65.0,15.0,35.0,22.0,16.0,53.0,17.0,56.0,22.0,18.0,18.0,73.0,65.0,68.0,69.0,71.0
29,29.0,Wladimiro Falcone,72.0,74.0,2100000.0,11000.0,17.0,19.0,13.0,25.0,13.0,13.0,16.0,12.0,26.0,20.0,26.0,28.0,33.0,54.0,34.0,50.0,43.0,28.0,62.0,20.0,15.0,8.0,5.0,35.0,29.0,44.0,6.0,11.0,16.0,74.0,73.0,66.0,70.0,78.0
43,43.0,Mohammed Al Owais,68.0,68.0,800000.0,11000.0,14.0,20.0,20.0,27.0,12.0,14.0,16.0,16.0,26.0,17.0,44.0,49.0,37.0,66.0,61.0,41.0,74.0,35.0,62.0,12.0,17.0,24.0,10.0,55.0,19.0,57.0,13.0,20.0,13.0,72.0,64.0,55.0,66.0,70.0
47,47.0,Per Kristian Worre Bråtveit,69.0,73.0,1500000.0,6000.0,15.0,15.0,15.0,31.0,17.0,15.0,13.0,18.0,29.0,15.0,48.0,48.0,39.0,69.0,57.0,54.0,59.0,38.0,62.0,15.0,19.0,23.0,20.0,43.0,15.0,50.0,8.0,17.0,13.0,67.0,65.0,72.0,69.0,69.0
52,52.0,Andrés Tomás Prieto Albert,67.0,71.0,1100000.0,5000.0,19.0,19.0,13.0,31.0,15.0,18.0,17.0,20.0,20.0,16.0,37.0,42.0,33.0,57.0,30.0,50.0,52.0,44.0,76.0,18.0,20.0,20.0,16.0,32.0,23.0,46.0,16.0,14.0,13.0,65.0,67.0,66.0,69.0,68.0
5,5.0,Leo Weinkauf,66.0,70.0,925000.0,6000.0,11.0,9.0,10.0,23.0,10.0,11.0,10.0,10.0,16.0,11.0,36.0,34.0,24.0,52.0,30.0,40.0,49.0,26.0,59.0,6.0,22.0,14.0,6.0,24.0,18.0,37.0,15.0,10.0,9.0,65.0,67.0,53.0,69.0,71.0
19,19.0,Hervé Kouakou Koffi,73.0,77.0,3300000.0,9000.0,11.0,8.0,13.0,23.0,6.0,13.0,14.0,13.0,26.0,27.0,58.0,53.0,63.0,73.0,64.0,51.0,80.0,30.0,68.0,7.0,30.0,14.0,8.0,44.0,16.0,58.0,13.0,11.0,10.0,75.0,70.0,68.0,68.0,77.0
47,47.0,Shamal George,64.0,68.0,675000.0,1000.0,17.0,20.0,18.0,39.0,20.0,14.0,17.0,13.0,42.0,30.0,38.0,40.0,48.0,60.0,35.0,45.0,55.0,35.0,65.0,20.0,42.0,21.0,18.0,45.0,22.0,50.0,15.0,13.0,14.0,66.0,60.0,60.0,62.0,66.0
59,59.0,Michael John Cooper,70.0,79.0,3100000.0,5000.0,10.0,8.0,14.0,54.0,6.0,13.0,12.0,11.0,56.0,23.0,30.0,36.0,28.0,66.0,43.0,50.0,59.0,28.0,46.0,9.0,24.0,12.0,7.0,58.0,11.0,32.0,14.0,14.0,12.0,69.0,68.0,66.0,68.0,72.0
6,6.0,Manuel Mama Samba Baldé,64.0,74.0,1100000.0,500.0,11.0,6.0,10.0,23.0,7.0,14.0,13.0,15.0,25.0,16.0,18.0,19.0,37.0,55.0,26.0,45.0,41.0,28.0,75.0,9.0,18.0,12.0,6.0,37.0,12.0,24.0,6.0,12.0,13.0,63.0,63.0,60.0,62.0,68.0
16,16.0,Nils De Mol,57.0,66.0,325000.0,1000.0,12.0,7.0,12.0,22.0,6.0,9.0,10.0,12.0,23.0,13.0,31.0,33.0,26.0,53.0,46.0,42.0,62.0,26.0,66.0,8.0,24.0,14.0,5.0,34.0,16.0,36.0,9.0,11.0,12.0,58.0,56.0,56.0,54.0,59.0
28,28.0,Moritz Onken,56.0,75.0,325000.0,500.0,11.0,9.0,14.0,25.0,5.0,13.0,14.0,10.0,28.0,13.0,38.0,32.0,40.0,43.0,24.0,38.0,42.0,30.0,65.0,7.0,21.0,7.0,5.0,39.0,19.0,24.0,9.0,11.0,13.0,59.0,57.0,51.0,52.0,61.0
41,41.0,Bela Dumrath,53.0,69.0,210000.0,500.0,12.0,6.0,12.0,31.0,7.0,11.0,12.0,10.0,22.0,19.0,31.0,21.0,37.0,47.0,27.0,38.0,35.0,18.0,70.0,7.0,28.0,12.0,4.0,37.0,19.0,33.0,6.0,11.0,13.0,51.0,58.0,51.0,50.0,52.0
54,54.0,Ricardo Manuel Vieira da Silva,65.0,71.0,925000.0,1000.0,13.0,11.0,12.0,30.0,10.0,19.0,13.0,12.0,26.0,20.0,40.0,39.0,45.0,59.0,33.0,42.0,41.0,20.0,60.0,10.0,22.0,13.0,7.0,46.0,29.0,33.0,8.0,10.0,11.0,65.0,63.0,56.0,64.0,69.0
20,20.0,Ishan Kort,60.0,72.0,525000.0,1000.0,10.0,5.0,11.0,19.0,5.0,10.0,12.0,10.0,21.0,19.0,17.0,28.0,27.0,59.0,24.0,40.0,39.0,20.0,65.0,6.0,16.0,12.0,7.0,26.0,13.0,36.0,8.0,13.0,12.0,60.0,59.0,53.0,56.0,62.0
22,22.0,Dirk Baron,54.0,67.0,220000.0,500.0,14.0,9.0,14.0,16.0,5.0,11.0,10.0,13.0,15.0,18.0,20.0,31.0,37.0,40.0,29.0,38.0,36.0,18.0,57.0,5.0,21.0,12.0,4.0,27.0,14.0,36.0,5.0,10.0,14.0,53.0,60.0,50.0,54.0,53.0
25,25.0,Thijmen Renkel,54.0,70.0,240000.0,500.0,12.0,5.0,12.0,27.0,9.0,14.0,11.0,14.0,27.0,14.0,19.0,28.0,39.0,41.0,27.0,41.0,37.0,21.0,67.0,6.0,22.0,14.0,5.0,23.0,14.0,37.0,6.0,10.0,13.0,56.0,55.0,54.0,52.0,53.0
5,5.0,Abdulrahman Al Sanbi,52.0,66.0,170000.0,2000.0,10.0,8.0,15.0,24.0,9.0,12.0,12.0,13.0,28.0,13.0,38.0,34.0,29.0,44.0,46.0,38.0,58.0,28.0,44.0,13.0,26.0,9.0,8.0,40.0,14.0,33.0,8.0,10.0,9.0,53.0,51.0,50.0,52.0,54.0
10,10.0,Eren Karataş,59.0,69.0,425000.0,750.0,14.0,8.0,10.0,25.0,9.0,7.0,14.0,10.0,23.0,14.0,25.0,26.0,23.0,44.0,24.0,44.0,31.0,17.0,59.0,6.0,23.0,7.0,4.0,33.0,12.0,25.0,6.0,14.0,12.0,60.0,61.0,58.0,54.0,63.0
11,11.0,Maximilian Kinzig,55.0,67.0,250000.0,500.0,14.0,5.0,11.0,15.0,5.0,8.0,11.0,11.0,21.0,19.0,19.0,24.0,21.0,53.0,46.0,41.0,60.0,22.0,38.0,7.0,27.0,13.0,8.0,41.0,19.0,43.0,8.0,14.0,10.0,51.0,55.0,55.0,57.0,55.0
14,14.0,Magnus Sjøeng,63.0,78.0,1000000.0,600.0,8.0,3.0,12.0,30.0,3.0,18.0,10.0,10.0,26.0,25.0,34.0,36.0,42.0,51.0,25.0,44.0,46.0,24.0,58.0,5.0,21.0,17.0,5.0,41.0,12.0,31.0,12.0,11.0,10.0,65.0,60.0,59.0,64.0,64.0
15,15.0,Jakob Brambach,57.0,71.0,325000.0,500.0,11.0,7.0,11.0,19.0,9.0,14.0,14.0,12.0,16.0,19.0,23.0,26.0,29.0,55.0,26.0,41.0,35.0,22.0,60.0,6.0,22.0,12.0,8.0,34.0,14.0,38.0,6.0,12.0,11.0,62.0,54.0,54.0,50.0,57.0
22,22.0,Jonas Urbig,58.0,76.0,450000.0,500.0,10.0,5.0,13.0,23.0,8.0,6.0,12.0,12.0,28.0,12.0,31.0,33.0,30.0,42.0,36.0,41.0,59.0,24.0,51.0,5.0,27.0,14.0,8.0,35.0,15.0,37.0,8.0,14.0,10.0,58.0,60.0,55.0,57.0,60.0
24,24.0,Tyla Dickinson,58.0,69.0,400000.0,850.0,14.0,6.0,10.0,19.0,5.0,9.0,14.0,13.0,23.0,19.0,24.0,22.0,36.0,58.0,46.0,41.0,73.0,16.0,49.0,7.0,45.0,13.0,5.0,30.0,11.0,34.0,8.0,12.0,10.0,59.0,56.0,54.0,53.0,60.0
35,35.0,Bader Al Enazi,55.0,63.0,250000.0,2000.0,14.0,8.0,12.0,41.0,8.0,11.0,21.0,13.0,35.0,16.0,42.0,41.0,38.0,42.0,45.0,42.0,58.0,26.0,44.0,15.0,30.0,8.0,9.0,48.0,16.0,38.0,9.0,13.0,10.0,56.0,52.0,56.0,56.0,59.0
39,39.0,Ted Cann,52.0,65.0,170000.0,2000.0,14.0,6.0,11.0,28.0,8.0,14.0,13.0,14.0,33.0,19.0,38.0,36.0,34.0,46.0,26.0,39.0,35.0,20.0,60.0,7.0,18.0,8.0,4.0,26.0,14.0,38.0,9.0,14.0,12.0,50.0,53.0,52.0,46.0,58.0
44,44.0,Massamba Ndiaye,60.0,68.0,475000.0,500.0,11.0,7.0,11.0,17.0,8.0,7.0,12.0,11.0,16.0,19.0,19.0,33.0,23.0,50.0,23.0,48.0,32.0,23.0,73.0,6.0,25.0,12.0,6.0,33.0,19.0,26.0,6.0,11.0,12.0,54.0,60.0,64.0,60.0,64.0
46,46.0,Mohamed Koné,56.0,68.0,300000.0,650.0,13.0,7.0,14.0,21.0,5.0,14.0,10.0,12.0,17.0,13.0,17.0,28.0,22.0,55.0,21.0,41.0,33.0,17.0,60.0,6.0,17.0,13.0,7.0,22.0,11.0,30.0,5.0,11.0,14.0,56.0,53.0,54.0,54.0,58.0
3,3.0,Stefan Ortega Moreno,80.0,80.0,14500000.0,95000.0,18.0,15.0,20.0,40.0,13.0,20.0,16.0,12.0,55.0,38.0,51.0,53.0,42.0,80.0,54.0,65.0,77.0,33.0,73.0,12.0,29.0,27.0,10.0,66.0,24.0,59.0,29.0,12.0,15.0,76.0,74.0,86.0,80.0,85.0
4,4.0,Timo Horn,75.0,77.0,4700000.0,20000.0,19.0,13.0,14.0,30.0,14.0,20.0,12.0,15.0,29.0,22.0,45.0,51.0,50.0,79.0,31.0,44.0,64.0,31.0,67.0,17.0,41.0,22.0,15.0,45.0,21.0,25.0,14.0,13.0,12.0,75.0,75.0,58.0,69.0,78.0
13,13.0,Loris Karius,72.0,72.0,1600000.0,40000.0,14.0,18.0,14.0,38.0,14.0,16.0,12.0,14.0,41.0,23.0,55.0,54.0,51.0,69.0,43.0,54.0,74.0,36.0,75.0,16.0,21.0,13.0,8.0,50.0,19.0,60.0,9.0,11.0,13.0,75.0,66.0,72.0,70.0,75.0
14,14.0,Brice Samba,75.0,77.0,4800000.0,23000.0,10.0,9.0,15.0,48.0,13.0,12.0,14.0,13.0,36.0,22.0,49.0,60.0,39.0,70.0,54.0,58.0,57.0,37.0,70.0,10.0,26.0,18.0,11.0,48.0,15.0,53.0,12.0,14.0,12.0,76.0,73.0,77.0,73.0,77.0
23,23.0,Odisseas Vlachodimos,81.0,83.0,22000000.0,15000.0,15.0,12.0,13.0,27.0,14.0,13.0,17.0,13.0,24.0,23.0,42.0,44.0,67.0,82.0,38.0,50.0,74.0,39.0,68.0,16.0,32.0,23.0,14.0,46.0,18.0,56.0,17.0,14.0,12.0,84.0,78.0,67.0,78.0,84.0
32,32.0,Angus Gunn,72.0,76.0,2500000.0,22000.0,14.0,15.0,14.0,32.0,19.0,20.0,20.0,15.0,41.0,27.0,48.0,49.0,40.0,67.0,42.0,51.0,71.0,31.0,66.0,17.0,28.0,18.0,9.0,51.0,19.0,49.0,20.0,16.0,14.0,73.0,70.0,68.0,70.0,74.0
34,34.0,Andries Noppert,75.0,78.0,5000000.0,7000.0,14.0,19.0,19.0,28.0,19.0,19.0,24.0,14.0,39.0,23.0,45.0,50.0,40.0,74.0,60.0,50.0,66.0,42.0,69.0,20.0,21.0,16.0,15.0,32.0,19.0,54.0,10.0,15.0,13.0,77.0,73.0,67.0,73.0,75.0
40,40.0,David Raya Martin,77.0,79.0,10000000.0,35000.0,12.0,19.0,20.0,53.0,20.0,17.0,18.0,15.0,60.0,40.0,64.0,46.0,68.0,72.0,45.0,60.0,77.0,29.0,38.0,14.0,29.0,11.0,15.0,66.0,26.0,64.0,28.0,14.0,13.0,76.0,75.0,80.0,76.0,78.0
48,48.0,Vanja Milinković-Savić,74.0,78.0,4600000.0,24000.0,18.0,20.0,12.0,31.0,16.0,15.0,55.0,59.0,30.0,18.0,41.0,45.0,38.0,63.0,38.0,59.0,58.0,33.0,73.0,45.0,34.0,21.0,12.0,58.0,24.0,65.0,11.0,15.0,19.0,74.0,71.0,78.0,74.0,75.0
49,49.0,Ivan Provedel,78.0,79.0,11000000.0,38000.0,21.0,17.0,17.0,34.0,14.0,16.0,13.0,13.0,23.0,22.0,44.0,40.0,38.0,70.0,44.0,57.0,56.0,28.0,56.0,20.0,27.0,22.0,16.0,56.0,22.0,62.0,22.0,22.0,21.0,81.0,76.0,76.0,76.0,81.0
25,25.0,Ben Alexander Voll,65.0,71.0,925000.0,900.0,8.0,9.0,11.0,25.0,8.0,11.0,11.0,11.0,22.0,14.0,24.0,25.0,27.0,46.0,20.0,49.0,22.0,21.0,67.0,9.0,20.0,9.0,8.0,32.0,7.0,29.0,9.0,12.0,10.0,68.0,64.0,65.0,62.0,71.0
49,49.0,Mouhamed Mbaye,63.0,73.0,925000.0,2000.0,10.0,7.0,10.0,21.0,8.0,12.0,13.0,10.0,23.0,11.0,27.0,17.0,37.0,62.0,30.0,42.0,40.0,19.0,61.0,7.0,22.0,16.0,6.0,42.0,14.0,26.0,14.0,11.0,11.0,67.0,58.0,56.0,55.0,68.0
57,57.0,Alejandro José Araque Peña,68.0,70.0,1100000.0,500.0,13.0,5.0,10.0,15.0,7.0,12.0,10.0,13.0,25.0,10.0,47.0,46.0,51.0,68.0,47.0,47.0,66.0,27.0,46.0,12.0,26.0,10.0,5.0,23.0,19.0,23.0,5.0,12.0,12.0,72.0,65.0,62.0,64.0,69.0
1,1.0,Mads Hermansen,71.0,80.0,3600000.0,5000.0,13.0,9.0,11.0,50.0,9.0,24.0,12.0,14.0,53.0,40.0,49.0,49.0,47.0,62.0,42.0,52.0,66.0,25.0,55.0,13.0,20.0,16.0,12.0,46.0,15.0,41.0,15.0,10.0,13.0,71.0,69.0,69.0,69.0,74.0
10,10.0,David Ochoa,67.0,76.0,2000000.0,1000.0,7.0,5.0,11.0,21.0,4.0,6.0,8.0,8.0,20.0,10.0,28.0,25.0,33.0,64.0,38.0,48.0,59.0,38.0,68.0,6.0,20.0,9.0,7.0,38.0,14.0,31.0,8.0,9.0,10.0,66.0,66.0,64.0,64.0,69.0
34,34.0,Lautaro Alberto Morales,72.0,82.0,4600000.0,8000.0,19.0,17.0,21.0,36.0,19.0,19.0,26.0,16.0,31.0,28.0,51.0,53.0,47.0,63.0,56.0,51.0,69.0,44.0,65.0,15.0,37.0,28.0,14.0,58.0,25.0,54.0,24.0,23.0,23.0,72.0,69.0,68.0,73.0,73.0
41,41.0,Stefano Turati,67.0,79.0,2100000.0,5000.0,11.0,10.0,13.0,24.0,7.0,7.0,11.0,13.0,20.0,20.0,37.0,31.0,46.0,59.0,35.0,48.0,53.0,30.0,54.0,7.0,28.0,12.0,8.0,42.0,17.0,24.0,10.0,14.0,14.0,66.0,63.0,64.0,70.0,70.0
43,43.0,Elias Imed Damergy,60.0,73.0,500000.0,2000.0,10.0,5.0,12.0,17.0,6.0,12.0,10.0,10.0,18.0,14.0,38.0,32.0,46.0,57.0,33.0,39.0,54.0,28.0,66.0,5.0,26.0,6.0,8.0,37.0,14.0,37.0,6.0,13.0,10.0,61.0,58.0,52.0,57.0,62.0
55,55.0,Wellington Moisés Ramírez Preciado,72.0,81.0,4600000.0,500.0,13.0,8.0,14.0,35.0,6.0,9.0,11.0,12.0,16.0,18.0,35.0,29.0,41.0,71.0,44.0,49.0,62.0,29.0,57.0,7.0,20.0,14.0,8.0,35.0,13.0,35.0,11.0,12.0,12.0,74.0,67.0,65.0,69.0,75.0
5,5.0,Miguel Alejandro Silva Jaimes,60.0,70.0,475000.0,500.0,14.0,8.0,14.0,25.0,10.0,9.0,12.0,13.0,22.0,18.0,34.0,31.0,32.0,54.0,41.0,44.0,53.0,26.0,55.0,9.0,21.0,11.0,11.0,37.0,13.0,36.0,10.0,15.0,12.0,61.0,59.0,58.0,57.0,61.0
6,6.0,Ricardo Andrés Márquez Chiquito,55.0,67.0,250000.0,500.0,12.0,9.0,11.0,28.0,8.0,8.0,10.0,12.0,22.0,15.0,24.0,28.0,25.0,50.0,36.0,38.0,48.0,22.0,59.0,7.0,21.0,12.0,8.0,33.0,15.0,23.0,10.0,17.0,12.0,55.0,60.0,51.0,52.0,53.0
10,10.0,Gabriel Breeze,51.0,65.0,120000.0,500.0,11.0,5.0,10.0,19.0,8.0,8.0,10.0,13.0,20.0,17.0,22.0,29.0,21.0,42.0,46.0,38.0,62.0,22.0,37.0,5.0,20.0,9.0,7.0,36.0,18.0,36.0,6.0,14.0,12.0,50.0,52.0,50.0,50.0,51.0
35,35.0,Žiga Frelih,69.0,77.0,2700000.0,4000.0,10.0,20.0,12.0,16.0,19.0,21.0,12.0,14.0,22.0,22.0,32.0,26.0,33.0,60.0,29.0,48.0,33.0,23.0,58.0,12.0,20.0,12.0,15.0,37.0,30.0,28.0,17.0,14.0,10.0,68.0,69.0,64.0,71.0,71.0
